,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149
0,RPL13A,RPL37A,UBB,MT2A,LDHB,HLA-A,RPS16,RPL5,MT1G,IGFBP7,ITM2B,RPS24,GPX3,RPL8,VIM,ACTG1,CD63,MYL6,RPL38,RAC1,SELENOP,ATP5F1A,RTN4,GNAS,CAPN2,ATP5F1B,ATP5F1C,RPL15,GHITM,HNRNPK,ATP5PO,ALDOB,SRP9,ISCU,COX8A,PAM,PTGES3,COX5B,CRYAB,GABARAP,NACA4P,MT1F,SUCLG1,NDUFB1,AKR1A1,NDUFB2,TMBIM6,ACTB,SOD1,UMOD,MGP,BHMT,ALDH9A1,RHOA,NDUFA1,CCT8,PSMA6,SPCS1,S100A10,PEPD,ADI1,GSTO1,SGK1,NOP53,TMEM147,GATM,ADAR,PEBP1,CRYZ,KARS,ALDH2,PSMB1,SARAF,SDC4,SEC61B,ALDOA,NQO2,GADD45A,CLTA,CCNI,HSD17B12,HLA-DRA,CAPNS1,PSMB5,HADHB,TST,NEDD8,YPEL5,H2AFZ,NDUFB5,ACADVL,CTSB,COX7B,TUBB2A,S100A6,SEC13,YWHAZ,CERS2,ACAT1,PHB2,NDUFA13,IFITM2,ANP32B,ASAH1,TCEAL4,SEC62,TRAM1,UFC1,DAB2,AKR1C3,GSTK1,SSR4,ATP5PF,AKR1B1,ATP6V1F,AMOT,A2M,ADH5,TPI1,DAD1,CDKN1C,BIRC2,FSTL1,CSRP1,PCK1,DDX47,PCBP1,DEFB1,RIN2,EIF3K,SCP2,UQCR10,NDUFB3,ARHGEF3,ANXA5,LTA4H,EIF4G2,PSME1,TMED9,MAFB,SERINC1,HEBP1,ARPC2,CRYL1,VAPA,PNRC1,ECH1,ACTR10,PHYH,SPINT2
1,UBB,RPL13A,LDHB,RPL37A,HLA-A,MT2A,RPS16,RPS24,MT1G,RPL5,GPX3,ACTG1,ITM2B,IGFBP7,RPL8,MYL6,VIM,CD63,RAC1,SELENOP,RPL38,RPL15,RTN4,CAPN2,ATP5F1A,GNAS,COX8A,ATP5PO,HNRNPK,GABARAP,ATP5F1B,ALDOB,PAM,ATP5F1C,GHITM,ISCU,SRP9,ALDH9A1,AKR1A1,SOD1,NDUFB1,SUCLG1,TMBIM6,NACA4P,MT1F,UMOD,ACTB,NDUFB2,S100A10,PTGES3,MGP,NOP53,CRYAB,PSMA6,CCT8,COX5B,RHOA,PSMB1,BHMT,TMEM147,NDUFA1,SPCS1,ALDOA,CLTA,SGK1,ADI1,SEC61B,CRYZ,ALDH2,GATM,PEPD,GADD45A,KARS,NDUFB5,ADAR,HSD17B12,NQO2,GSTO1,SARAF,PEBP1,TUBB2A,HLA-DRA,YPEL5,NDUFA13,YWHAZ,SDC4,NEDD8,PSMB5,DAB2,CCNI,CAPNS1,H2AFZ,HADHB,A2M,ACAT1,TST,DAD1,ASAH1,ACADVL,PHB2,UFC1,ADH5,S100A6,SEC13,ATP5PF,SEC62,CERS2,SSR4,ECH1,TCEAL4,EIF3K,AMOT,DDX47,CTSB,GSTK1,COX7B,AKR1C3,TRAM1,EIF4G2,NDUFB3,IFITM2,TMED9,TPI1,MAFB,ANXA5,ATP6V1F,FSTL1,RIN2,DEFB1,PCBP1,BIRC2,HEBP1,SPINT2,PCK1,PSME1,SPARC,ARPC5,SERINC1,UQCR10,CRYL1,CSRP1,PNRC1,OSBPL9,CDKN1C,ACTR10,ANP32B,ARHGEF3,AKR1B1,VAPA,SLC38A2
2,RPL37A,RPL13A,UBB,MT2A,HLA-A,LDHB,RPS16,RPL5,MT1G,IGFBP7,RPS24,GPX3,ITM2B,RPL8,VIM,ACTG1,CD63,MYL6,RPL38,RAC1,SELENOP,RTN4,ATP5F1A,ATP5F1B,GNAS,RPL15,HNRNPK,CAPN2,GHITM,ATP5F1C,ALDOB,ATP5PO,GABARAP,PTGES3,SRP9,ISCU,CRYAB,COX5B,SUCLG1,MT1F,NDUFB1,COX8A,NDUFB2,PAM,NACA4P,ALDH9A1,ACTB,AKR1A1,TMBIM6,SOD1,RHOA,UMOD,MGP,BHMT,CCT8,ADI1,S100A10,TMEM147,PEPD,SGK1,PSMA6,NDUFA1,GSTO1,NOP53,SPCS1,CRYZ,SARAF,ADAR,ALDH2,PEBP1,PSMB1,GATM,NQO2,KARS,CLTA,ALDOA,HLA-DRA,SDC4,NDUFB5,HSD17B12,CCNI,H2AFZ,SEC61B,GADD45A,CAPNS1,NEDD8,YPEL5,PSMB5,UFC1,TUBB2A,ACADVL,HADHB,TRAM1,TST,COX7B,YWHAZ,AKR1C3,S100A6,ACAT1,CERS2,PHB2,DAD1,ASAH1,AMOT,TCEAL4,ATP5PF,DAB2,SEC13,NDUFA13,DDX47,CTSB,IFITM2,ANP32B,DEFB1,ATP6V1F,SEC62,GSTK1,CSRP1,SSR4,PCK1,A2M,AKR1B1,BIRC2,UQCR10,EIF4G2,ADH5,FSTL1,LTA4H,ECH1,TPI1,CDKN1C,PSMC5,RIN2,EIF3K,NDUFB3,HEBP1,ANXA5,SCP2,ATP6V1B2,TMED9,MAFB,SERINC1,PCBP1,PSME1,HIGD1A,KLHDC2,ARHGEF3,SPARC,SLC38A2,CRYL1
3,RPL37A,UBB,RPL13A,LDHB,MT2A,HLA-A,RPS16,GPX3,RPS24,MT1G,RPL5,IGFBP7,ACTG1,ITM2B,VIM,RPL8,CD63,MYL6,SELENOP,RAC1,RPL38,GNAS,RTN4,RPL15,ATP5F1A,CAPN2,ATP5F1B,HNRNPK,ATP5PO,GABARAP,GHITM,ATP5F1C,ALDOB,ISCU,COX8A,NACA4P,SOD1,SUCLG1,PTGES3,NDUFB1,TMBIM6,SRP9,AKR1A1,PAM,ALDH9A1,CRYAB,ACTB,COX5B,NDUFB2,UMOD,MT1F,S100A10,RHOA,BHMT,CCT8,MGP,NOP53,PSMA6,SGK1,NDUFA1,SPCS1,CRYZ,ADI1,TMEM147,PEPD,ALDH2,ADAR,PSMB1,ALDOA,SARAF,GATM,GSTO1,CLTA,SDC4,NQO2,PEBP1,NDUFB5,HLA-DRA,KARS,GADD45A,HSD17B12,SEC61B,CCNI,H2AFZ,NEDD8,UFC1,CAPNS1,ACADVL,YPEL5,TUBB2A,ACAT1,TST,TRAM1,HADHB,YWHAZ,S100A6,NDUFA13,PSMB5,COX7B,DAB2,DAD1,CERS2,TCEAL4,PHB2,SEC13,ATP5PF,ADH5,ASAH1,A2M,AKR1C3,AMOT,ECH1,SEC62,SSR4,ATP6V1F,IFITM2,EIF3K,DDX47,CTSB,PCK1,TPI1,GSTK1,RIN2,FSTL1,CSRP1,DEFB1,NDUFB3,ANP32B,BIRC2,TMED9,ANXA5,PSMC5,ATP6V1B2,UQCR10,CDKN1C,AKR1B1,SPARC,SERINC1,MAFB,EIF4G2,OSBPL9,HEBP1,SPINT2,LTA4H,SCP2,PSME1,SLC38A2,ARPC5,ADM,HIGD1A
4,RPL37A,RPL13A,UBB,HLA-A,MT2A,LDHB,RPS16,GPX3,RPL5,IGFBP7,RPS24,MT1G,ACTG1,VIM,CD63,ITM2B,RPL8,MYL6,RPL15,GNAS,RAC1,SELENOP,RPL38,ATP5F1A,RTN4,ATP5F1B,ATP5PO,CAPN2,HNRNPK,ALDOB,ISCU,GABARAP,TMBIM6,SOD1,GHITM,ATP5F1C,NDUFB2,NDUFB1,PTGES3,RHOA,NACA4P,SUCLG1,COX5B,ACTB,MT1F,COX8A,PAM,CRYAB,ALDH9A1,CCT8,UMOD,AKR1A1,MGP,S100A10,BHMT,SRP9,NOP53,ALDH2,SPCS1,SARAF,PSMA6,CRYZ,NDUFA1,PEPD,ADI1,SGK1,TMEM147,NQO2,GSTO1,ADAR,CLTA,GATM,PEBP1,PSMB1,HLA-DRA,NDUFB5,ALDOA,SDC4,SEC61B,UFC1,KARS,CAPNS1,ACADVL,PSMB5,YWHAZ,H2AFZ,TRAM1,HSD17B12,CCNI,GADD45A,TUBB2A,CERS2,ECH1,COX7B,ATP5PF,YPEL5,NEDD8,AMOT,ADH5,ACAT1,PCK1,NDUFA13,DDX47,SEC13,TCEAL4,PHB2,IFITM2,SEC62,DEFB1,AKR1C3,DAD1,DAB2,ASAH1,TST,A2M,S100A6,EIF3K,OSBPL9,LTA4H,ATP6V1F,GSTK1,CSRP1,ANP32B,HADHB,SSR4,ATP6V1B2,ANXA5,FSTL1,RIN2,BIRC2,EIF4G2,NDUFB3,SERINC1,TMED9,CDKN1C,ADM,SLC38A2,HIGD1A,TPI1,SCP2,AKR1B1,KLHDC2,PHYH,CTSB,UQCR10,SPINT2,MAFB,BDH2,ARL6IP1,PSMC5
5,RPL37A,UBB,RPL13A,LDHB,HLA-A,MT2A,RPS16,RPS24,RPL5,GPX3,MT1G,IGFBP7,CD63,ACTG1,ITM2B,VIM,RAC1,RPL8,MYL6,SELENOP,ATP5F1A,RPL38,RPL15,RTN4,GNAS,CAPN2,HNRNPK,ATP5PO,ALDOB,ATP5F1B,GABARAP,ISCU,SOD1,GHITM,MT1F,COX8A,PAM,ATP5F1C,ALDH9A1,NDUFB1,ACTB,RHOA,NDUFB2,NACA4P,PTGES3,UMOD,COX5B,SUCLG1,MGP,S100A10,CCT8,TMBIM6,AKR1A1,SRP9,CRYAB,ALDH2,CRYZ,SPCS1,TMEM147,NOP53,SARAF,PSMA6,SGK1,BHMT,PSMB1,ADI1,NQO2,PEPD,HLA-DRA,PEBP1,NDUFB5,CLTA,NDUFA1,ADAR,ALDOA,GSTO1,GATM,HSD17B12,SEC61B,GADD45A,H2AFZ,KARS,TUBB2A,ECH1,YWHAZ,SDC4,UFC1,CAPNS1,ACADVL,YPEL5,PSMB5,CCNI,NEDD8,ATP5PF,CERS2,AKR1C3,ACAT1,NDUFA13,AMOT,PHB2,TRAM1,DEFB1,ADH5,TST,DAB2,ASAH1,COX7B,DAD1,EIF4G2,GSTK1,DDX47,SEC62,SSR4,TCEAL4,OSBPL9,HADHB,A2M,IFITM2,CSRP1,S100A6,SEC13,PCK1,SPOCK1,NDUFB3,ATP6V1F,PNRC1,MAFB,SCP2,TMED9,PSME1,PHYH,UQCR10,ATP6V1B2,EIF3K,ARPC5,RIN2,BIRC2,FSTL1,AKR1B1,ARL6IP1,CDKN1C,SPARC,ANP32B,SERINC1,CTSB,LTA4H,ACTR10,ANXA5,VAPA,FOXC1
6,UBB,LDHB,RPL13A,RPL37A,MT2A,HLA-A,RPS24,RPS16,GPX3,ACTG1,MT1G,RPL5,IGFBP7,CD63,RPL8,ITM2B,MYL6,VIM,RAC1,SELENOP,RPL38,RPL15,RTN4,CAPN2,ATP5F1A,GABARAP,GNAS,HNRNPK,COX8A,ATP5PO,ALDOB,SOD1,ALDH9A1,ISCU,ATP5F1B,PAM,GHITM,NDUFB1,ATP5F1C,NACA4P,AKR1A1,ACTB,SRP9,UMOD,SUCLG1,MT1F,TMBIM6,S100A10,NDUFB2,PTGES3,NOP53,CCT8,PSMB1,MGP,TMEM147,PSMA6,RHOA,CRYAB,CRYZ,COX5B,BHMT,CLTA,ALDOA,SGK1,NDUFB5,ALDH2,SPCS1,ADI1,NDUFA1,PEPD,NQO2,GATM,GADD45A,SEC61B,ADAR,SARAF,KARS,HLA-DRA,PEBP1,SDC4,NEDD8,HSD17B12,GSTO1,TUBB2A,UFC1,H2AFZ,YWHAZ,NDUFA13,YPEL5,DAB2,ACAT1,CCNI,ECH1,TST,ASAH1,HADHB,ACADVL,DAD1,CAPNS1,ADH5,A2M,PHB2,ATP5PF,TRAM1,AKR1C3,AMOT,CERS2,S100A6,DEFB1,TCEAL4,SEC13,SSR4,COX7B,NDUFB3,GSTK1,PSMB5,EIF4G2,ATP6V1F,DDX47,SEC62,EIF3K,TMED9,SPARC,IFITM2,FSTL1,MAFB,UQCR10,CSRP1,ARPC5,HEBP1,TPI1,PSMC5,RIN2,PCK1,SPOCK1,OSBPL9,ANXA5,ATP6V1B2,PNRC1,CTSB,PSME1,BIRC2,IFI30,ACTR10,SPINT2,VAPA,CRYL1,SERINC1,AKR1B1,ARHGEF3
7,RPL37A,UBB,RPL13A,RPS16,GPX3,LDHB,MT2A,HLA-A,RPS24,ACTG1,MT1G,RPL5,VIM,ITM2B,IGFBP7,RAC1,RPL8,CD63,MYL6,SELENOP,GNAS,RPL15,RTN4,ATP5F1A,RPL38,ATP5PO,CAPN2,GABARAP,COX8A,HNRNPK,SOD1,NACA4P,ATP5F1B,ISCU,SUCLG1,GHITM,UMOD,ATP5F1C,NDUFB1,ALDOB,ACTB,PTGES3,TMBIM6,SRP9,ALDH9A1,BHMT,AKR1A1,PAM,S100A10,CCT8,NOP53,CRYAB,RHOA,NDUFB5,COX5B,NDUFB2,CRYZ,SGK1,TMEM147,SDC4,ADAR,MT1F,SPCS1,MGP,ALDH2,PSMB1,ALDOA,ADI1,GATM,PSMA6,SARAF,NDUFA1,NQO2,HLA-DRA,H2AFZ,PEPD,UFC1,GADD45A,NEDD8,CLTA,ECH1,HSD17B12,GSTO1,TUBB2A,PEBP1,SEC61B,S100A6,ACAT1,CCNI,ACADVL,ATP5PF,DAB2,COX7B,TRAM1,NDUFA13,SEC62,A2M,SSR4,KARS,DAD1,PHB2,YWHAZ,AKR1C3,YPEL5,DDX47,SPARC,TST,BIRC2,ADH5,CERS2,TCEAL4,TPI1,TMED9,ATP6V1B2,SEC13,AMOT,PCK1,ATP6V1F,CSRP1,PSMB5,CAPNS1,DEFB1,OSBPL9,ADM,ANXA5,IFITM2,HADHB,ASAH1,EIF3K,ANP32B,PSMC5,FSTL1,ACTR10,KLHDC2,ARL6IP1,MAFB,SCP2,UQCR10,RIN2,GSTK1,PNRC1,IFI30,LTA4H,AKR1B1,WSB2,EIF6,NDUFB3,CDKN1C,PSME1,SPOCK1
8,RPL37A,RPL13A,UBB,GPX3,HLA-A,MT2A,RPS16,LDHB,ACTG1,ITM2B,RPL5,RPS24,VIM,CD63,MYL6,MT1G,IGFBP7,RPL8,SELENOP,RPL15,RPL38,GNAS,RAC1,CAPN2,ATP5F1C,RTN4,ATP5PO,SOD1,ATP5F1A,NACA4P,UMOD,ATP5F1B,HNRNPK,TMBIM6,SRP9,ALDOB,GABARAP,ISCU,COX8A,SUCLG1,NDUFB1,GHITM,PAM,AKR1A1,CRYAB,ACTB,COX5B,S100A10,NOP53,BHMT,PSMA6,NDUFB2,PTGES3,SPCS1,ALDH2,RHOA,PSMB1,CCT8,MT1F,PEPD,NDUFA1,TMEM147,CRYZ,ALDH9A1,SGK1,SARAF,ALDOA,NQO2,CLTA,MGP,HLA-DRA,SDC4,ADAR,ADI1,GATM,NDUFB5,GADD45A,ADH5,SEC61B,COX7B,PCK1,GSTO1,DAB2,KARS,TRAM1,YWHAZ,A2M,TUBB2A,CCNI,TST,PEBP1,UFC1,DAD1,NEDD8,EIF3K,ADM,S100A6,PHB2,ACAT1,ATP5PF,YPEL5,NDUFA13,H2AFZ,SEC13,CERS2,ASAH1,HSD17B12,PSMB5,TMED9,HADHB,CAPNS1,ECH1,OSBPL9,AMOT,GSTK1,SSR4,NDUFB3,IFITM2,ATP6V1B2,TPI1,ARPC5,SEC62,AKR1C3,EIF4G2,ACADVL,LTA4H,FSTL1,ATP6V1F,SCP2,CDKN1C,DEFB1,SPINT2,ANXA5,ARPC2,SLC38A2,PSME1,TCEAL4,SPARC,UQCR10,SERINC1,FOXC1,DDX47,BIRC2,PNRC1,SPOCK1,APOE,MAFB,CSRP1,RIN2,PCBP1
