,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,RPL13A,UBB,MT2A,HLA-A,RPL37A,RPS24,RPL5,GPX3,ACTG1,ITM2B,RPS16,MYL6,RPL8,LDHB,MT1G,ALDOB,ATP5F1A,RAC1,GABARAP,RPL38,RPL15,VIM,IGFBP7,NEDD8,SOD1,PTGES3,CD63,SELENOP,ATP5PO,AKR1A1
1,RPL13A,UBB,MT2A,HLA-A,RPL37A,RPS24,ITM2B,RPL5,GPX3,ACTG1,MYL6,RPS16,MT1G,RPL8,ALDOB,LDHB,RPL15,GABARAP,RAC1,ATP5F1A,RPL38,IGFBP7,NEDD8,VIM,SELENOP,ATP5PO,SOD1,CCT8,GNAS,RHOA
2,RPL13A,UBB,MT2A,HLA-A,RPS24,ITM2B,RPL37A,MYL6,ACTG1,GPX3,RPL5,RPS16,MT1G,RPL8,LDHB,ATP5F1A,IGFBP7,RPL38,RPL15,RAC1,ALDOB,SOD1,VIM,GABARAP,SELENOP,NEDD8,GNAS,AKR1A1,PTGES3,CCT8
3,RPL13A,UBB,RPL37A,MT2A,HLA-A,ITM2B,GPX3,RPS24,MYL6,ACTG1,RPL5,RPS16,LDHB,MT1G,RPL8,ATP5F1A,RPL38,ALDOB,RPL15,GABARAP,RAC1,IGFBP7,VIM,NEDD8,SELENOP,SOD1,ATP5F1B,CCT8,GNAS,PTGES3
4,RPL13A,UBB,HLA-A,MT2A,RPS24,RPL37A,ITM2B,GPX3,MYL6,ACTG1,RPS16,RPL5,RPL8,LDHB,ALDOB,MT1G,RAC1,RPL38,ATP5F1A,RPL15,IGFBP7,GABARAP,GNAS,VIM,SELENOP,NEDD8,CCT8,SOD1,ATP5PO,NDUFB2
5,UBB,RPL13A,HLA-A,MT2A,RPL37A,RPS24,ITM2B,GPX3,ACTG1,RPL5,MYL6,MT1G,LDHB,RPS16,ALDOB,RPL15,RPL8,RAC1,IGFBP7,ATP5F1A,RPL38,NEDD8,GABARAP,SELENOP,SOD1,CCT8,VIM,GNAS,PTGES3,NOP53
6,RPL13A,UBB,HLA-A,RPL37A,MT2A,ITM2B,RPS24,GPX3,RPL5,ACTG1,MYL6,RPL15,RPS16,MT1G,RPL8,ATP5F1A,LDHB,ALDOB,RPL38,IGFBP7,GABARAP,RAC1,NEDD8,VIM,CCT8,SELENOP,GNAS,SOD1,CD63,PTGES3
7,RPL13A,UBB,HLA-A,RPL37A,MT2A,RPS24,ITM2B,GPX3,MYL6,ACTG1,RPL5,RPS16,RPL38,LDHB,RPL8,ALDOB,MT1G,ATP5F1A,RPL15,RAC1,IGFBP7,GABARAP,GNAS,CCT8,SELENOP,NEDD8,VIM,SOD1,RHOA,ATP5PO
8,RPL13A,UBB,HLA-A,MT2A,ITM2B,RPL37A,RPS24,MYL6,ACTG1,GPX3,RPS16,RPL5,RPL8,IGFBP7,ATP5F1A,LDHB,RPL38,RPL15,ALDOB,MT1G,RAC1,CCT8,NEDD8,GNAS,VIM,GABARAP,SOD1,SELENOP,ATP5PO,PTGES3
