,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0,UBB,RPL13A,RPL5,RPL37A,ACTG1,MT2A,HLA-A,RPS16,IGFBP7,GPX3,CD63,RPS24,ITM2B,SOD1,ATP5F1A,ATP5F1B,MYL6,MT1G,RAC1,LDHB,SELENOP,VIM,ISCU,RPL15,RPL8,ALDOB,GABARAP,CAPN2,TMBIM6,CCT8,ATP5F1C,S100A10,CRYAB,NDUFB2,ECH1,RPL38,NACA4P,GNAS,RHOA,RTN4,NDUFA1,ATP5PO,HNRNPK,SRP9,NOP53,AKR1A1,NDUFB1,PTGES3,ALDH2,SEC61B
1,RPL37A,UBB,RPL13A,HLA-A,RPL5,RPS16,ACTG1,MT2A,IGFBP7,GPX3,ITM2B,ATP5F1B,CD63,SOD1,RPS24,ATP5F1A,MYL6,VIM,LDHB,RAC1,MT1G,RPL15,CAPN2,SELENOP,ALDOB,TMBIM6,GABARAP,RPL38,ISCU,HNRNPK,RPL8,ATP5F1C,CCT8,RTN4,SRP9,GHITM,CRYAB,RHOA,NDUFB2,ATP5PO,PTGES3,NDUFB1,NDUFA1,NACA4P,ECH1,S100A10,UMOD,AKR1A1,MGP,NOP53
2,UBB,RPL5,RPL13A,RPL37A,ACTG1,RPS16,HLA-A,MT2A,GPX3,IGFBP7,CD63,RPS24,ITM2B,SOD1,ATP5F1A,MYL6,ATP5F1B,RAC1,RPL15,MT1G,ISCU,VIM,LDHB,SELENOP,ALDOB,CCT8,RPL8,GABARAP,ATP5F1C,NDUFB2,CAPN2,TMBIM6,GNAS,S100A10,NACA4P,CRYAB,RPL38,RHOA,ATP5PO,ECH1,NDUFA1,PTGES3,ALDH2,RTN4,AKR1A1,SEC61B,SRP9,NOP53,NDUFB1,HNRNPK
3,UBB,RPL37A,ACTG1,RPL5,RPL13A,RPS16,MT2A,HLA-A,GPX3,IGFBP7,CD63,ITM2B,RPS24,SOD1,ATP5F1B,ATP5F1A,MYL6,RAC1,MT1G,SELENOP,LDHB,VIM,RPL15,ISCU,ALDOB,CAPN2,RPL8,CCT8,TMBIM6,ATP5F1C,ATP5PO,GABARAP,NDUFB2,S100A10,RTN4,CRYAB,RPL38,NACA4P,ECH1,RHOA,HNRNPK,NDUFA1,GNAS,SEC61B,AKR1A1,PTGES3,NOP53,SUCLG1,GHITM,MGP
4,UBB,RPL5,RPL13A,ACTG1,RPL37A,RPS16,MT2A,HLA-A,GPX3,IGFBP7,CD63,RPS24,ITM2B,ATP5F1A,SOD1,MYL6,RAC1,ATP5F1B,MT1G,RPL15,SELENOP,VIM,ISCU,LDHB,CCT8,ALDOB,NDUFB2,RPL8,ATP5F1C,CAPN2,GABARAP,TMBIM6,S100A10,GNAS,NACA4P,ATP5PO,CRYAB,RHOA,RPL38,NDUFA1,PTGES3,ECH1,RTN4,SEC61B,ALDH2,AKR1A1,NOP53,SUCLG1,MGP,SRP9
5,UBB,RPL5,RPL13A,ACTG1,RPS16,MT2A,RPL37A,HLA-A,GPX3,RPS24,CD63,IGFBP7,ATP5F1A,ITM2B,SOD1,MYL6,RAC1,ATP5F1B,RPL15,MT1G,ISCU,SELENOP,LDHB,VIM,CCT8,NDUFB2,ALDOB,GNAS,RPL8,ATP5F1C,S100A10,GABARAP,NACA4P,TMBIM6,CAPN2,ATP5PO,CRYAB,NDUFA1,RHOA,RPL38,PTGES3,ALDH2,ECH1,SEC61B,AKR1A1,NOP53,RTN4,SUCLG1,NDUFB1,PSMA6
6,UBB,RPL5,RPL13A,ACTG1,MT2A,RPL37A,RPS16,HLA-A,GPX3,RPS24,IGFBP7,CD63,ATP5F1A,ITM2B,SOD1,MYL6,RAC1,ATP5F1B,MT1G,RPL15,ISCU,SELENOP,LDHB,VIM,CCT8,RPL8,ALDOB,NDUFB2,ATP5F1C,GNAS,S100A10,GABARAP,CAPN2,TMBIM6,NACA4P,ATP5PO,CRYAB,NDUFA1,RHOA,RPL38,ECH1,SEC61B,PTGES3,NOP53,AKR1A1,ALDH2,RTN4,SUCLG1,NDUFB1,MGP
7,UBB,RPL13A,RPL5,ACTG1,RPL37A,MT2A,HLA-A,RPS16,GPX3,IGFBP7,RPS24,ITM2B,CD63,SOD1,ATP5F1B,ATP5F1A,MYL6,LDHB,MT1G,RAC1,VIM,ISCU,SELENOP,RPL15,RPL8,ALDOB,CAPN2,TMBIM6,GABARAP,CCT8,S100A10,CRYAB,NDUFB2,ATP5F1C,GNAS,NACA4P,ECH1,RPL38,NDUFA1,RTN4,RHOA,ATP5PO,HNRNPK,NOP53,SRP9,PTGES3,AKR1A1,NDUFB3,NDUFB1,MGP
8,UBB,RPL5,RPL13A,ACTG1,MT2A,RPS16,RPL37A,HLA-A,GPX3,RPS24,IGFBP7,CD63,ATP5F1A,ITM2B,SOD1,MYL6,RAC1,ATP5F1B,MT1G,ISCU,RPL15,SELENOP,LDHB,VIM,CCT8,RPL8,ALDOB,NDUFB2,GNAS,ATP5F1C,S100A10,GABARAP,TMBIM6,NACA4P,CAPN2,CRYAB,ATP5PO,RHOA,NDUFA1,ECH1,RPL38,PTGES3,SEC61B,NOP53,ALDH2,AKR1A1,RTN4,SUCLG1,NDUFB1,PSMA6
