,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,UBB,RPL37A,GPX3,RPL13A,RPS24,RPS16,ACTG1,HLA-A,MYL6,GNAS,RPL5,MT2A,ATP5F1A,LDHB,RAC1,ITM2B,SOD1,MT1G,IGFBP7,RPL8,RPL38,CAPN2,NOP53,CD63,RPL15,COX8A,ATP5PO,ALDOB,VIM,A2M,ATP5F1B,SELENOP,NDUFB2,NEDD8,CCT8,NDUFB1,PTGES3,ISCU,ALDH9A1,GABARAP,TMBIM6,ATP5F1C,SGK1,ALDOA,GATM,RTN4,MGP,MT1F,SRP9,NDUFA1,ALDH2,HNRNPK,GHITM,AKR1A1,DAD1,SUCLG1,CLTA,TST,CRYAB,SEC61B,PSME1,S100A10,BHMT,ACTB,ECH1,NACA4P,RHOA,TPI1,CERS2,NDUFB3,ACAT1,GADD45A,PHB2,NDUFA13,ACADVL,SPCS1,ATP5PF,YWHAZ,HADHB,SARAF,SSR4,TMEM147,CCNI,CSRP1,SLC38A2,EIF4G2,CTSB,ASAH1,DEFB1,PAM,SERINC1,SPINT2,COX5B,PSMA6,AMOT,VAPA,AGMAT,PCK1,RPS27L,SPOCK1
1,UBB,RPL37A,GPX3,RPL13A,RPS24,ACTG1,RPS16,RPL5,HLA-A,MT2A,GNAS,LDHB,MT1G,MYL6,ATP5F1A,ITM2B,IGFBP7,RAC1,SOD1,RPL38,RPL8,RPL15,COX8A,VIM,CD63,NOP53,CAPN2,SELENOP,ALDOB,ISCU,NEDD8,ATP5PO,CCT8,A2M,PTGES3,NDUFB1,RTN4,ATP5F1B,GATM,ALDH9A1,TMBIM6,SGK1,SRP9,ATP5F1C,MT1F,ALDOA,NACA4P,NDUFB2,GABARAP,SEC61B,HNRNPK,AKR1A1,GHITM,ALDH2,NDUFA1,SUCLG1,MGP,CLTA,ACTB,S100A10,TPI1,TST,BHMT,NDUFB3,CCNI,ECH1,CRYAB,DAD1,PHB2,ATP5PF,PSMA6,EIF4G2,SPCS1,ASAH1,PSME1,NDUFA13,SARAF,RHOA,GADD45A,COX5B,AGMAT,TMEM147,KARS,UMOD,ACADVL,SPINT2,SERINC1,PSMB1,PEBP1,SEC13,DEFB1,YWHAZ,PCK1,ACAT1,PAM,SPOCK1,CTSB,CERS2,HADHB,PEPD
2,UBB,RPL37A,GPX3,RPL13A,RPS24,RPS16,ACTG1,RPL5,HLA-A,GNAS,LDHB,MT2A,MYL6,MT1G,ITM2B,RAC1,ATP5F1A,RPL38,SOD1,IGFBP7,RPL8,RPL15,CD63,COX8A,NOP53,VIM,SELENOP,CAPN2,ALDOB,NEDD8,NDUFB1,CCT8,ATP5PO,A2M,PTGES3,ISCU,ATP5F1B,ALDOA,GATM,ALDH9A1,RTN4,NDUFB2,TMBIM6,GABARAP,ATP5F1C,NACA4P,MT1F,SRP9,SGK1,HNRNPK,AKR1A1,ALDH2,MGP,NDUFA1,CLTA,SEC61B,GHITM,S100A10,SUCLG1,ACTB,TST,BHMT,TPI1,ECH1,CRYAB,NDUFB3,NDUFA13,DAD1,ATP5PF,EIF4G2,PHB2,CCNI,PSME1,SPCS1,RHOA,ASAH1,GADD45A,UMOD,SARAF,ACADVL,YWHAZ,PSMA6,AGMAT,PAM,KARS,COX5B,PEBP1,PSMB1,TMEM147,HADHB,SPINT2,SLC38A2,SPOCK1,PEPD,SERINC1,SEC13,CERS2,PCK1,DEFB1,CTSB
3,UBB,RPL37A,GPX3,RPL13A,RPS16,RPS24,ACTG1,RPL5,LDHB,MT2A,GNAS,MYL6,ITM2B,HLA-A,MT1G,IGFBP7,ATP5F1A,SOD1,RAC1,RPL38,VIM,CAPN2,RPL8,RPL15,COX8A,ALDOB,NEDD8,CD63,A2M,NOP53,SELENOP,ATP5PO,NDUFB2,ALDOA,SRP9,ALDH9A1,CCT8,PTGES3,NDUFB1,SGK1,ISCU,GATM,GABARAP,ATP5F1B,ATP5F1C,GHITM,CLTA,TMBIM6,MGP,NACA4P,HNRNPK,RTN4,SUCLG1,MT1F,AKR1A1,NDUFA1,DAD1,ALDH2,ECH1,SEC61B,TST,BHMT,S100A10,ACTB,PHB2,CRYAB,TPI1,CCNI,EIF4G2,PSME1,CERS2,NDUFB3,ATP5PF,SPCS1,TMEM147,NDUFA13,PSMA6,SERINC1,SARAF,ACADVL,HADHB,RHOA,ASAH1,SLC38A2,PSMB1,AGMAT,COX5B,GADD45A,DEFB1,CSRP1,ACAT1,PEBP1,SEC13,PAM,CAPNS1,KARS,RPS27L,SPINT2,SPARC,TUBB2A
4,UBB,RPL37A,RPL13A,RPS24,GPX3,RPS16,ACTG1,HLA-A,MYL6,GNAS,RPL5,RAC1,MT2A,ATP5F1A,LDHB,SOD1,ITM2B,MT1G,IGFBP7,RPL8,CAPN2,COX8A,RPL38,NOP53,ATP5PO,RPL15,A2M,CD63,VIM,ATP5F1B,SELENOP,ALDOB,NDUFB2,CCT8,ALDH9A1,TMBIM6,NEDD8,ISCU,PTGES3,NDUFB1,GABARAP,ATP5F1C,ALDOA,SGK1,RTN4,MT1F,MGP,ALDH2,NDUFA1,SRP9,GATM,HNRNPK,GHITM,DAD1,TST,PSME1,AKR1A1,SUCLG1,CRYAB,SEC61B,S100A10,CLTA,ACAT1,ACTB,RHOA,GADD45A,CERS2,NDUFB3,TPI1,NACA4P,SSR4,ACADVL,ECH1,BHMT,SPCS1,PHB2,YWHAZ,CTSB,HADHB,NDUFA13,ATP5PF,SLC38A2,DEFB1,SARAF,CSRP1,AMOT,SPOCK1,CCNI,TMEM147,NFE2L1,EIF4G2,PAM,SPINT2,SERINC1,ASAH1,COX5B,PCK1,VAPA,RPS27L,PSMA6
5,UBB,RPL37A,GPX3,RPL13A,RPS16,RPS24,ACTG1,GNAS,LDHB,RPL5,MT2A,ITM2B,HLA-A,MYL6,ATP5F1A,MT1G,RAC1,IGFBP7,SOD1,RPL38,RPL8,RPL15,VIM,CAPN2,COX8A,CD63,NEDD8,ALDOB,NOP53,A2M,NDUFB2,PTGES3,ATP5PO,SELENOP,ISCU,GATM,ALDOA,GABARAP,NDUFB1,CCT8,ALDH9A1,ATP5F1B,SRP9,HNRNPK,ATP5F1C,SGK1,CLTA,TMBIM6,GHITM,MGP,AKR1A1,MT1F,RTN4,SUCLG1,NDUFA1,NACA4P,ECH1,ALDH2,SEC61B,DAD1,TST,TPI1,BHMT,ACTB,PHB2,S100A10,CRYAB,PSME1,CCNI,NDUFA13,NDUFB3,SPCS1,RHOA,ATP5PF,PSMA6,CERS2,EIF4G2,ACADVL,SLC38A2,SERINC1,SARAF,GADD45A,TMEM147,PSMB1,PAM,HADHB,ACAT1,ASAH1,PEBP1,AGMAT,COX5B,UMOD,DEFB1,PEPD,SPINT2,PCK1,KARS,SPARC,RPS27L,CSRP1
6,UBB,RPL37A,GPX3,RPL13A,RPS24,RPS16,ACTG1,RPL5,HLA-A,GNAS,MT2A,LDHB,MYL6,MT1G,RAC1,ATP5F1A,ITM2B,SOD1,IGFBP7,RPL8,RPL38,RPL15,CD63,COX8A,NOP53,CAPN2,ATP5PO,A2M,VIM,ALDOB,NEDD8,SELENOP,ISCU,CCT8,NDUFB1,ATP5F1B,PTGES3,GATM,ALDH9A1,NDUFB2,ATP5F1C,GABARAP,RTN4,ALDOA,SGK1,SRP9,MT1F,HNRNPK,TMBIM6,ALDH2,NDUFA1,MGP,GHITM,AKR1A1,CLTA,SEC61B,SUCLG1,NACA4P,ACTB,CRYAB,TST,S100A10,DAD1,NDUFB3,PSME1,ECH1,BHMT,TPI1,NDUFA13,PHB2,ATP5PF,RHOA,EIF4G2,ACADVL,SARAF,CCNI,SPCS1,ASAH1,PSMA6,CERS2,GADD45A,COX5B,TMEM147,HADHB,ACAT1,SERINC1,SLC38A2,AGMAT,PEBP1,SPINT2,KARS,YWHAZ,UMOD,CSRP1,PCK1,PEPD,PAM,CTSB,AMOT,PSMB1
7,UBB,GPX3,RPL37A,RPL13A,RPS16,RPS24,ACTG1,LDHB,RPL5,ITM2B,MT2A,GNAS,HLA-A,MYL6,MT1G,ATP5F1A,RAC1,IGFBP7,SOD1,RPL38,VIM,RPL8,RPL15,ALDOB,NOP53,COX8A,CAPN2,CD63,NEDD8,A2M,SELENOP,ATP5PO,NDUFB2,NDUFB1,ALDOA,PTGES3,SRP9,CCT8,ISCU,GATM,GABARAP,SGK1,ALDH9A1,HNRNPK,ATP5F1B,ATP5F1C,GHITM,TMBIM6,CLTA,MGP,AKR1A1,NACA4P,RTN4,MT1F,DAD1,NDUFA1,SEC61B,SUCLG1,ALDH2,ECH1,TST,BHMT,PHB2,CRYAB,ACTB,S100A10,TPI1,NDUFB3,CCNI,PSME1,EIF4G2,ACADVL,ATP5PF,RHOA,SPCS1,PSMA6,NDUFA13,CERS2,TMEM147,ASAH1,SLC38A2,SERINC1,GADD45A,HADHB,SARAF,DEFB1,PAM,ACAT1,AGMAT,COX5B,SPINT2,PSMB1,PEBP1,UMOD,SPARC,KARS,TUBB2A,BBOX1,CSRP1,HSD17B12
8,UBB,RPL37A,RPL13A,GPX3,RPS24,ACTG1,RPS16,HLA-A,MYL6,RPL5,GNAS,MT2A,LDHB,ATP5F1A,RAC1,MT1G,SOD1,ITM2B,IGFBP7,RPL8,RPL38,COX8A,CAPN2,RPL15,NOP53,ATP5PO,CD63,A2M,VIM,SELENOP,ALDOB,ATP5F1B,CCT8,NEDD8,ISCU,PTGES3,NDUFB1,ALDH9A1,NDUFB2,TMBIM6,GABARAP,ATP5F1C,RTN4,ALDOA,MT1F,SGK1,GATM,ALDH2,NDUFA1,SRP9,MGP,HNRNPK,GHITM,AKR1A1,SUCLG1,SEC61B,TST,CRYAB,PSME1,DAD1,ACTB,CLTA,S100A10,NACA4P,TPI1,NDUFB3,ECH1,RHOA,ACAT1,GADD45A,BHMT,SPCS1,PHB2,CERS2,ACADVL,NDUFA13,ATP5PF,YWHAZ,SSR4,CCNI,CTSB,HADHB,SARAF,SLC38A2,DEFB1,EIF4G2,SPOCK1,TMEM147,AMOT,CSRP1,PSMA6,ASAH1,SPINT2,PAM,SERINC1,COX5B,UMOD,PCK1,NFE2L1,AGMAT
