,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,MT2A,RPL37A,RPL13A,ACTG1,RPS16,HLA-A,MYL6,ATP5F1A,GPX3,IGFBP7,RPL5,RPS24,RPL15,MT1G,ITM2B,LDHB,SOD1,UBB,RPL8,CAPN2,RPL38,NOP53,CD63,SELENOP,GNAS,ATP5F1C,CCT8,RAC1,ALDOB,NDUFB1
1,MT2A,RPL37A,RPL13A,ACTG1,HLA-A,RPS16,GPX3,RPS24,RPL5,IGFBP7,ATP5F1A,MYL6,UBB,RPL15,MT1G,LDHB,SOD1,ITM2B,RPL8,CAPN2,NOP53,CD63,SELENOP,RPL38,CCT8,NDUFB1,NDUFB2,ATP5F1C,GNAS,ALDH9A1
2,MT2A,RPL37A,RPS16,RPL13A,ACTG1,HLA-A,GPX3,RPL5,MYL6,ATP5F1A,IGFBP7,RPS24,LDHB,MT1G,RPL8,SOD1,RPL15,UBB,ITM2B,CAPN2,RPL38,CD63,GNAS,NDUFB1,NOP53,CCT8,ATP5F1C,SELENOP,NEDD8,TMBIM6
3,MT2A,RPL37A,RPL13A,RPS16,ACTG1,HLA-A,RPL5,RPS24,GPX3,ATP5F1A,IGFBP7,LDHB,MYL6,RPL8,RPL15,MT1G,ITM2B,SOD1,UBB,CAPN2,RPL38,CD63,NOP53,NDUFB1,SELENOP,GNAS,ATP5F1C,CCT8,TMBIM6,NEDD8
4,MT2A,RPL13A,RPL37A,ACTG1,RPS16,HLA-A,RPL5,RPS24,IGFBP7,ATP5F1A,LDHB,RPL8,GPX3,MYL6,MT1G,RPL15,RPL38,ITM2B,CAPN2,UBB,CD63,NOP53,SELENOP,SOD1,NDUFB1,ATP5F1C,DAD1,TMBIM6,GNAS,CCT8
5,MT2A,RPL37A,RPL13A,ACTG1,HLA-A,RPS16,GPX3,RPS24,RPL5,IGFBP7,UBB,ATP5F1A,ITM2B,MT1G,SOD1,MYL6,LDHB,RPL15,CAPN2,RPL8,NOP53,CD63,SELENOP,NDUFB1,CCT8,RPL38,NDUFB2,VIM,GHITM,ATP5F1C
6,MT2A,RPL37A,RPL13A,ACTG1,RPS16,HLA-A,IGFBP7,ATP5F1A,RPS24,MYL6,RPL5,GPX3,LDHB,RPL15,MT1G,RPL8,UBB,ITM2B,CAPN2,SOD1,RPL38,NOP53,CD63,SELENOP,ATP5F1C,CCT8,NDUFB1,GNAS,TMBIM6,RAC1
7,MT2A,RPL37A,RPL13A,ACTG1,RPS16,HLA-A,MYL6,ATP5F1A,IGFBP7,GPX3,RPL5,RPS24,RPL15,MT1G,LDHB,RPL8,ITM2B,UBB,SOD1,CAPN2,RPL38,CD63,SELENOP,NOP53,ATP5F1C,GNAS,CCT8,NDUFB1,RAC1,TMBIM6
8,MT2A,RPL13A,RPL37A,ACTG1,HLA-A,RPS16,RPL5,RPS24,IGFBP7,GPX3,ATP5F1A,MT1G,LDHB,RPL8,MYL6,RPL15,UBB,ITM2B,CAPN2,SOD1,CD63,NOP53,RPL38,SELENOP,NDUFB1,ATP5F1C,CCT8,DAD1,TMBIM6,GNAS
